judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Arad,Consiliu Județean,https://cjarad.ro,yes,200,https://www.cjarad.ro/,yes,yes,wordpress,https://www.cjarad.ro/feed/,yes,2026-01-01,2024,
Arad,Prefectură,http://ar.prefectura.mai.gov.ro,yes,200,https://ar.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Alba,Prefectură,http://ab.prefectura.mai.gov.ro,yes,200,https://ab.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2026-01-01,,
Argeș,Prefectură,http://ag.prefectura.mai.gov.ro,yes,200,https://ag.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Bacău,Prefectură,http://bc.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Bihor,Prefectură,http://bh.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Argeș,Consiliu Județean,https://cjarges.ro,yes,200,https://www.cjarges.ro/,yes,yes,e-adm,,no,2026-01-01,,
Bacău,Consiliu Județean,https://csjbacau.ro,yes,200,https://csjbacau.ro,yes,yes,e-adm,,no,2028-01-01,2026,
Alba,Consiliu Județean,https://judetul-alba.ro,yes,200,https://judetul-alba.ro,yes,yes,e-adm,,no,2027-01-01,2021,
Bistrița-Năsăud,Prefectură,http://bn.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Bistrița-Năsăud,Consiliu Județean,https://portalbn.ro,yes,200,https://portalbn.ro,yes,unclear,other,,no,,,
Botoșani,Prefectură,http://bt.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Bihor,Consiliu Județean,https://cjbihor.ro,yes,200,https://www.cjbihor.ro/,yes,yes,wordpress,https://www.cjbihor.ro/feed/,yes,2026-01-01,,
Brăila,Prefectură,http://br.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Brașov,Prefectură,http://bv.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
București,Prefectură,http://b.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
București,Consiliu General (PMB),https://www.pmb.ro,yes,200,https://www.pmb.ro,yes,unclear,other,,no,,,
Buzău,Prefectură,http://bz.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Brașov,Consiliu Județean,https://judbrasov.ro,yes,200,https://cjbrasov.ro/,yes,yes,wordpress,,no,2028-01-01,2022,
Botoșani,Consiliu Județean,https://cjbotosani.ro,yes,200,https://www.cjbotosani.ro/,yes,yes,wordpress,https://www.cjbotosani.ro/feed/,yes,2026-07-19,,
Călărași,Prefectură,http://cl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Buzău,Consiliu Județean,https://cjbuzau.ro,yes,200,https://cjbuzau.ro,yes,yes,wordpress,https://cjbuzau.ro/feed/,yes,2028-01-01,,
Caraș-Severin,Prefectură,http://cs.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Cluj,Prefectură,http://cj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Caraș-Severin,Consiliu Județean,https://cjcs.ro,yes,200,https://cjcs.ro,yes,yes,other,,no,2027-01-01,,
Cluj,Consiliu Județean,https://cjcluj.ro,yes,200,https://cjcluj.ro,yes,yes,wordpress,https://cjcluj.ro/feed/,yes,2026-01-01,,
Constanța,Prefectură,http://ct.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Constanța,Consiliu Județean,https://www.cjc.ro,yes,200,https://www.cjc.ro,yes,yes,other,,no,2026-01-01,,
Covasna,Prefectură,http://cv.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Covasna,Consiliu Județean,https://kvmt.ro,yes,200,https://kvmt.ro,yes,yes,other,,no,2027-01-01,,
Dâmbovița,Prefectură,http://db.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Dâmbovița,Consiliu Județean,https://cjd.ro,yes,200,https://cjd.ro,yes,yes,other,,no,2027-01-01,,
Dolj,Prefectură,http://dj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Călărași,Consiliu Județean,https://calarasi.ro,yes,200,https://www.calarasi.ro/,yes,yes,wordpress,https://www.calarasi.ro/feed/,yes,2026-01-01,2024,
Galați,Prefectură,http://gl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Giurgiu,Prefectură,http://gr.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Galați,Consiliu Județean,https://cjgalati.ro,yes,200,https://cjgalati.ro,yes,yes,wordpress,https://cjgalati.ro/feed/,yes,2028-01-01,2023,
Dolj,Consiliu Județean,https://cjdolj.ro,yes,200,https://cjdolj.ro,yes,yes,other,,no,2027-01-01,,
Gorj,Consiliu Județean,https://cjgorj.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 503: Service Unavailable
Gorj,Prefectură,http://gj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Harghita,Prefectură,http://hr.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
