judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Arad,Consiliu Județean,https://cjarad.ro,yes,200,https://www.cjarad.ro/,yes,yes,wordpress,https://www.cjarad.ro/feed/,yes,2026-01-01,2024,
Argeș,Consiliu Județean,https://cjarges.ro,yes,200,https://www.cjarges.ro/,yes,yes,e-adm,,no,2026-01-01,,
Bacău,Consiliu Județean,https://csjbacau.ro,yes,200,https://csjbacau.ro,yes,yes,e-adm,,no,2028-01-01,2026,
Alba,Consiliu Județean,https://judetul-alba.ro,yes,200,https://judetul-alba.ro,yes,yes,e-adm,,no,2027-01-01,2021,
Bistrița-Năsăud,Consiliu Județean,https://portalbn.ro,yes,200,https://portalbn.ro,yes,unclear,other,,no,,,
Bihor,Consiliu Județean,https://cjbihor.ro,yes,200,https://www.cjbihor.ro/,yes,yes,wordpress,https://www.cjbihor.ro/feed/,yes,2026-01-01,,
Brașov,Consiliu Județean,https://judbrasov.ro,yes,200,https://cjbrasov.ro/,yes,yes,wordpress,,no,2028-01-01,2022,
Botoșani,Consiliu Județean,https://cjbotosani.ro,yes,200,https://www.cjbotosani.ro/,yes,yes,wordpress,https://www.cjbotosani.ro/feed/,yes,2026-07-19,,
Buzău,Consiliu Județean,https://cjbuzau.ro,yes,200,https://cjbuzau.ro,yes,yes,wordpress,https://cjbuzau.ro/feed/,yes,2028-01-01,,
Caraș-Severin,Consiliu Județean,https://cjcs.ro,yes,200,https://cjcs.ro,yes,yes,other,,no,2027-01-01,,
Cluj,Consiliu Județean,https://cjcluj.ro,yes,200,https://cjcluj.ro,yes,yes,wordpress,https://cjcluj.ro/feed/,yes,2026-01-01,,
Constanța,Consiliu Județean,https://www.cjc.ro,yes,200,https://www.cjc.ro,yes,yes,other,,no,2026-01-01,,
Covasna,Consiliu Județean,https://kvmt.ro,yes,200,https://kvmt.ro,yes,yes,other,,no,2027-01-01,,
Dâmbovița,Consiliu Județean,https://cjd.ro,yes,200,https://cjd.ro,yes,yes,other,,no,2027-01-01,,
Călărași,Consiliu Județean,https://calarasi.ro,yes,200,https://www.calarasi.ro/,yes,yes,wordpress,https://www.calarasi.ro/feed/,yes,2026-01-01,2024,
Galați,Consiliu Județean,https://cjgalati.ro,yes,200,https://cjgalati.ro,yes,yes,wordpress,https://cjgalati.ro/feed/,yes,2028-01-01,2023,
Dolj,Consiliu Județean,https://cjdolj.ro,yes,200,https://cjdolj.ro,yes,yes,other,,no,2027-01-01,,
Gorj,Consiliu Județean,https://cjgorj.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 503: Service Unavailable
Giurgiu,Consiliu Județean,https://cjgiurgiu.ro,yes,200,https://cjgiurgiu.ro,yes,yes,wordpress,https://cjgiurgiu.ro/feed/,yes,2026-06-29,2021,
Hunedoara,Consiliu Județean,https://cjhunedoara.ro,yes,200,https://cjhunedoara.ro,yes,yes,joomla,,no,2029-01-01,2011,
Ialomița,Consiliu Județean,https://cjialomita.ro,yes,200,https://cjialomita.ro,yes,yes,wordpress,https://cjialomita.ro/feed/,yes,2027-01-01,,
Iași,Consiliu Județean,https://www.icc.ro,yes,200,https://www.icc.ro,yes,yes,wordpress,https://www.icc.ro/feed/,yes,2026-01-01,,
Ilfov,Consiliu Județean,https://cjilfov.ro,yes,200,https://cjilfov.ro,yes,yes,wordpress,https://cjilfov.ro/feed/,yes,2027-01-01,2020,
Maramureș,Consiliu Județean,https://cjmaramures.ro,yes,200,https://www.cjmaramures.ro/,yes,yes,joomla,,no,2027-01-01,2018,
Mureș,Consiliu Județean,https://cjmures.ro,yes,200,http://www.cjmures.ro/,no,yes,other,,no,,,
Mehedinți,Consiliu Județean,https://cjmehedinti.ro,yes,200,https://cjmehedinti.ro,yes,yes,e-adm,,no,2027-01-01,,
Neamț,Consiliu Județean,https://cjneamt.ro,yes,,,no,unclear,unknown,,no,,,[Errno 11001] getaddrinfo failed
Harghita,Consiliu Județean,https://judetulharghita.ro,yes,200,https://judetulharghita.ro,yes,yes,wordpress,,no,2026-01-01,2021,
Prahova,Consiliu Județean,https://www.cjph.ro,yes,,,no,unclear,unknown,,no,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)
Olt,Consiliu Județean,https://cjolt.ro,yes,,,no,unclear,unknown,,no,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)
Sălaj,Consiliu Județean,https://www.cjsj.ro,yes,200,https://www.cjsj.ro,yes,yes,joomla,,no,2026-01-01,,
Brăila,Consiliu Județean,https://portal-braila.ro,yes,,,no,unclear,unknown,,no,,,timed out
Suceava,Consiliu Județean,https://cjsuceava.ro,yes,200,https://cjsuceava.ro,yes,yes,joomla,,no,2027-01-01,,
Teleorman,Consiliu Județean,https://cjteleorman.ro,yes,200,https://cjteleorman.ro,yes,yes,other,,no,2027-01-01,,
Satu Mare,Consiliu Județean,https://www.cjsm.ro,yes,200,https://www.cjsm.ro,yes,yes,e-adm,,no,2026-01-01,,
Sibiu,Consiliu Județean,https://cjsibiu.ro,yes,200,https://www.cjsibiu.ro/,yes,yes,wordpress,https://www.cjsibiu.ro/feed/,yes,8814-10-07,2026,
Vâlcea,Consiliu Județean,https://cjvalcea.ro,yes,,,no,unclear,unknown,,no,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)
Tulcea,Consiliu Județean,https://cjtulcea.ro,yes,200,https://cjtulcea.ro,yes,yes,e-adm,,no,2026-01-01,2026,
Vaslui,Consiliu Județean,https://www.cjvs.eu,yes,200,https://cjvs.eu/,yes,yes,wordpress,https://cjvs.eu/feed/,yes,2026-01-01,2025,
Vrancea,Consiliu Județean,https://cjvrancea.ro,yes,200,https://cjvrancea.ro,yes,yes,wordpress,https://cjvrancea.ro/feed/,yes,2028-01-01,2018,
Timiș,Consiliu Județean,https://www.cjtimis.ro,yes,200,https://www.cjtimis.ro,yes,yes,wordpress,https://www.cjtimis.ro/feed/,yes,2028-01-01,2021,
