judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Bacău,Consiliu Județean,https://csjbacau.ro,yes,200,https://csjbacau.ro,yes,yes,e-adm,,no,2028-01-01,2026,
Alba,Consiliu Județean,https://judetul-alba.ro,yes,200,https://judetul-alba.ro,yes,yes,e-adm,,no,2027-01-01,2021,
Brașov,Consiliu Județean,https://judbrasov.ro,yes,200,https://cjbrasov.ro/,yes,yes,wordpress,,no,2028-01-01,2022,
Buzău,Consiliu Județean,https://cjbuzau.ro,yes,200,https://cjbuzau.ro,yes,yes,wordpress,https://cjbuzau.ro/feed/,yes,2028-01-01,,
Caraș-Severin,Consiliu Județean,https://cjcs.ro,yes,200,https://cjcs.ro,yes,yes,other,,no,2027-01-01,,
Covasna,Consiliu Județean,https://kvmt.ro,yes,200,https://kvmt.ro,yes,yes,other,,no,2027-01-01,,
Dâmbovița,Consiliu Județean,https://cjd.ro,yes,200,https://cjd.ro,yes,yes,other,,no,2027-01-01,,
Galați,Consiliu Județean,https://cjgalati.ro,yes,200,https://cjgalati.ro,yes,yes,wordpress,https://cjgalati.ro/feed/,yes,2028-01-01,2023,
Dolj,Consiliu Județean,https://cjdolj.ro,yes,200,https://cjdolj.ro,yes,yes,other,,no,2027-01-01,,
Hunedoara,Consiliu Județean,https://cjhunedoara.ro,yes,200,https://cjhunedoara.ro,yes,yes,joomla,,no,2029-01-01,2011,
Ialomița,Consiliu Județean,https://cjialomita.ro,yes,200,https://cjialomita.ro,yes,yes,wordpress,https://cjialomita.ro/feed/,yes,2027-01-01,,
Ilfov,Consiliu Județean,https://cjilfov.ro,yes,200,https://cjilfov.ro,yes,yes,wordpress,https://cjilfov.ro/feed/,yes,2027-01-01,2020,
Maramureș,Consiliu Județean,https://cjmaramures.ro,yes,200,https://www.cjmaramures.ro/,yes,yes,joomla,,no,2027-01-01,2018,
Mehedinți,Consiliu Județean,https://cjmehedinti.ro,yes,200,https://cjmehedinti.ro,yes,yes,e-adm,,no,2027-01-01,,
Suceava,Consiliu Județean,https://cjsuceava.ro,yes,200,https://cjsuceava.ro,yes,yes,joomla,,no,2027-01-01,,
Teleorman,Consiliu Județean,https://cjteleorman.ro,yes,200,https://cjteleorman.ro,yes,yes,other,,no,2027-01-01,,
Sibiu,Consiliu Județean,https://cjsibiu.ro,yes,200,https://www.cjsibiu.ro/,yes,yes,wordpress,https://www.cjsibiu.ro/feed/,yes,8814-10-07,2026,
Vrancea,Consiliu Județean,https://cjvrancea.ro,yes,200,https://cjvrancea.ro,yes,yes,wordpress,https://cjvrancea.ro/feed/,yes,2028-01-01,2018,
Timiș,Consiliu Județean,https://www.cjtimis.ro,yes,200,https://www.cjtimis.ro,yes,yes,wordpress,https://www.cjtimis.ro/feed/,yes,2028-01-01,2021,
