judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Arad,Prefectură,http://ar.prefectura.mai.gov.ro,yes,200,https://ar.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Alba,Prefectură,http://ab.prefectura.mai.gov.ro,yes,200,https://ab.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2026-01-01,,
Argeș,Prefectură,http://ag.prefectura.mai.gov.ro,yes,200,https://ag.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Bacău,Prefectură,http://bc.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Bihor,Prefectură,http://bh.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Bistrița-Năsăud,Prefectură,http://bn.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Botoșani,Prefectură,http://bt.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Brăila,Prefectură,http://br.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Brașov,Prefectură,http://bv.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
București,Prefectură,http://b.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Buzău,Prefectură,http://bz.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Călărași,Prefectură,http://cl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Caraș-Severin,Prefectură,http://cs.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Cluj,Prefectură,http://cj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Constanța,Prefectură,http://ct.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Covasna,Prefectură,http://cv.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Dâmbovița,Prefectură,http://db.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Dolj,Prefectură,http://dj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Galați,Prefectură,http://gl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Giurgiu,Prefectură,http://gr.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Gorj,Prefectură,http://gj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Harghita,Prefectură,http://hr.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Hunedoara,Prefectură,http://hd.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Ialomița,Prefectură,http://il.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Iași,Prefectură,http://is.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
