judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Arad,Consiliu Județean,https://cjarad.ro,yes,200,https://www.cjarad.ro/,yes,yes,wordpress,https://www.cjarad.ro/feed/,yes,2026-01-01,2024,
Arad,Prefectură,http://ar.prefectura.mai.gov.ro,yes,200,https://ar.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Alba,Prefectură,http://ab.prefectura.mai.gov.ro,yes,200,https://ab.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2026-01-01,,
Argeș,Prefectură,http://ag.prefectura.mai.gov.ro,yes,200,https://ag.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Argeș,Consiliu Județean,https://cjarges.ro,yes,200,https://www.cjarges.ro/,yes,yes,e-adm,,no,2026-01-01,,
Bihor,Consiliu Județean,https://cjbihor.ro,yes,200,https://www.cjbihor.ro/,yes,yes,wordpress,https://www.cjbihor.ro/feed/,yes,2026-01-01,,
Botoșani,Consiliu Județean,https://cjbotosani.ro,yes,200,https://www.cjbotosani.ro/,yes,yes,wordpress,https://www.cjbotosani.ro/feed/,yes,2026-07-19,,
Cluj,Consiliu Județean,https://cjcluj.ro,yes,200,https://cjcluj.ro,yes,yes,wordpress,https://cjcluj.ro/feed/,yes,2026-01-01,,
Constanța,Consiliu Județean,https://www.cjc.ro,yes,200,https://www.cjc.ro,yes,yes,other,,no,2026-01-01,,
Călărași,Consiliu Județean,https://calarasi.ro,yes,200,https://www.calarasi.ro/,yes,yes,wordpress,https://www.calarasi.ro/feed/,yes,2026-01-01,2024,
Giurgiu,Consiliu Județean,https://cjgiurgiu.ro,yes,200,https://cjgiurgiu.ro,yes,yes,wordpress,https://cjgiurgiu.ro/feed/,yes,2026-06-29,2021,
Iași,Consiliu Județean,https://www.icc.ro,yes,200,https://www.icc.ro,yes,yes,wordpress,https://www.icc.ro/feed/,yes,2026-01-01,,
Harghita,Consiliu Județean,https://judetulharghita.ro,yes,200,https://judetulharghita.ro,yes,yes,wordpress,,no,2026-01-01,2021,
Sălaj,Consiliu Județean,https://www.cjsj.ro,yes,200,https://www.cjsj.ro,yes,yes,joomla,,no,2026-01-01,,
Satu Mare,Consiliu Județean,https://www.cjsm.ro,yes,200,https://www.cjsm.ro,yes,yes,e-adm,,no,2026-01-01,,
Tulcea,Consiliu Județean,https://cjtulcea.ro,yes,200,https://cjtulcea.ro,yes,yes,e-adm,,no,2026-01-01,2026,
Vaslui,Consiliu Județean,https://www.cjvs.eu,yes,200,https://cjvs.eu/,yes,yes,wordpress,https://cjvs.eu/feed/,yes,2026-01-01,2025,
