judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Arad,Prefectură,http://ar.prefectura.mai.gov.ro,yes,200,https://ar.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Alba,Prefectură,http://ab.prefectura.mai.gov.ro,yes,200,https://ab.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2026-01-01,,
Argeș,Prefectură,http://ag.prefectura.mai.gov.ro,yes,200,https://ag.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Argeș,Consiliu Județean,https://cjarges.ro,yes,200,https://www.cjarges.ro/,yes,yes,e-adm,,no,2026-01-01,,
Bacău,Consiliu Județean,https://csjbacau.ro,yes,200,https://csjbacau.ro,yes,yes,e-adm,,no,2028-01-01,2026,
Alba,Consiliu Județean,https://judetul-alba.ro,yes,200,https://judetul-alba.ro,yes,yes,e-adm,,no,2027-01-01,2021,
Bistrița-Năsăud,Consiliu Județean,https://portalbn.ro,yes,200,https://portalbn.ro,yes,unclear,other,,no,,,
București,Consiliu General (PMB),https://www.pmb.ro,yes,200,https://www.pmb.ro,yes,unclear,other,,no,,,
Brașov,Consiliu Județean,https://judbrasov.ro,yes,200,https://cjbrasov.ro/,yes,yes,wordpress,,no,2028-01-01,2022,
Caraș-Severin,Consiliu Județean,https://cjcs.ro,yes,200,https://cjcs.ro,yes,yes,other,,no,2027-01-01,,
Constanța,Consiliu Județean,https://www.cjc.ro,yes,200,https://www.cjc.ro,yes,yes,other,,no,2026-01-01,,
Covasna,Consiliu Județean,https://kvmt.ro,yes,200,https://kvmt.ro,yes,yes,other,,no,2027-01-01,,
Dâmbovița,Consiliu Județean,https://cjd.ro,yes,200,https://cjd.ro,yes,yes,other,,no,2027-01-01,,
Dolj,Consiliu Județean,https://cjdolj.ro,yes,200,https://cjdolj.ro,yes,yes,other,,no,2027-01-01,,
Hunedoara,Consiliu Județean,https://cjhunedoara.ro,yes,200,https://cjhunedoara.ro,yes,yes,joomla,,no,2029-01-01,2011,
Maramureș,Consiliu Județean,https://cjmaramures.ro,yes,200,https://www.cjmaramures.ro/,yes,yes,joomla,,no,2027-01-01,2018,
Mureș,Consiliu Județean,https://cjmures.ro,yes,200,http://www.cjmures.ro/,no,yes,other,,no,,,
Mehedinți,Consiliu Județean,https://cjmehedinti.ro,yes,200,https://cjmehedinti.ro,yes,yes,e-adm,,no,2027-01-01,,
Harghita,Consiliu Județean,https://judetulharghita.ro,yes,200,https://judetulharghita.ro,yes,yes,wordpress,,no,2026-01-01,2021,
Sălaj,Consiliu Județean,https://www.cjsj.ro,yes,200,https://www.cjsj.ro,yes,yes,joomla,,no,2026-01-01,,
Suceava,Consiliu Județean,https://cjsuceava.ro,yes,200,https://cjsuceava.ro,yes,yes,joomla,,no,2027-01-01,,
Teleorman,Consiliu Județean,https://cjteleorman.ro,yes,200,https://cjteleorman.ro,yes,yes,other,,no,2027-01-01,,
Satu Mare,Consiliu Județean,https://www.cjsm.ro,yes,200,https://www.cjsm.ro,yes,yes,e-adm,,no,2026-01-01,,
Tulcea,Consiliu Județean,https://cjtulcea.ro,yes,200,https://cjtulcea.ro,yes,yes,e-adm,,no,2026-01-01,2026,
