judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Arad,Consiliu Județean,https://cjarad.ro,yes,200,https://www.cjarad.ro/,yes,yes,wordpress,https://www.cjarad.ro/feed/,yes,2026-01-01,2024,
Arad,Prefectură,http://ar.prefectura.mai.gov.ro,yes,200,https://ar.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Alba,Prefectură,http://ab.prefectura.mai.gov.ro,yes,200,https://ab.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2026-01-01,,
Argeș,Prefectură,http://ag.prefectura.mai.gov.ro,yes,200,https://ag.prefectura.mai.gov.ro,yes,yes,wordpress,,no,2025-01-01,,
Bihor,Consiliu Județean,https://cjbihor.ro,yes,200,https://www.cjbihor.ro/,yes,yes,wordpress,https://www.cjbihor.ro/feed/,yes,2026-01-01,,
Brașov,Consiliu Județean,https://judbrasov.ro,yes,200,https://cjbrasov.ro/,yes,yes,wordpress,,no,2028-01-01,2022,
Botoșani,Consiliu Județean,https://cjbotosani.ro,yes,200,https://www.cjbotosani.ro/,yes,yes,wordpress,https://www.cjbotosani.ro/feed/,yes,2026-07-19,,
Buzău,Consiliu Județean,https://cjbuzau.ro,yes,200,https://cjbuzau.ro,yes,yes,wordpress,https://cjbuzau.ro/feed/,yes,2028-01-01,,
Cluj,Consiliu Județean,https://cjcluj.ro,yes,200,https://cjcluj.ro,yes,yes,wordpress,https://cjcluj.ro/feed/,yes,2026-01-01,,
Călărași,Consiliu Județean,https://calarasi.ro,yes,200,https://www.calarasi.ro/,yes,yes,wordpress,https://www.calarasi.ro/feed/,yes,2026-01-01,2024,
Galați,Consiliu Județean,https://cjgalati.ro,yes,200,https://cjgalati.ro,yes,yes,wordpress,https://cjgalati.ro/feed/,yes,2028-01-01,2023,
Giurgiu,Consiliu Județean,https://cjgiurgiu.ro,yes,200,https://cjgiurgiu.ro,yes,yes,wordpress,https://cjgiurgiu.ro/feed/,yes,2026-06-29,2021,
Ialomița,Consiliu Județean,https://cjialomita.ro,yes,200,https://cjialomita.ro,yes,yes,wordpress,https://cjialomita.ro/feed/,yes,2027-01-01,,
Iași,Consiliu Județean,https://www.icc.ro,yes,200,https://www.icc.ro,yes,yes,wordpress,https://www.icc.ro/feed/,yes,2026-01-01,,
Ilfov,Consiliu Județean,https://cjilfov.ro,yes,200,https://cjilfov.ro,yes,yes,wordpress,https://cjilfov.ro/feed/,yes,2027-01-01,2020,
Harghita,Consiliu Județean,https://judetulharghita.ro,yes,200,https://judetulharghita.ro,yes,yes,wordpress,,no,2026-01-01,2021,
Sibiu,Consiliu Județean,https://cjsibiu.ro,yes,200,https://www.cjsibiu.ro/,yes,yes,wordpress,https://www.cjsibiu.ro/feed/,yes,8814-10-07,2026,
Vaslui,Consiliu Județean,https://www.cjvs.eu,yes,200,https://cjvs.eu/,yes,yes,wordpress,https://cjvs.eu/feed/,yes,2026-01-01,2025,
Vrancea,Consiliu Județean,https://cjvrancea.ro,yes,200,https://cjvrancea.ro,yes,yes,wordpress,https://cjvrancea.ro/feed/,yes,2028-01-01,2018,
Timiș,Consiliu Județean,https://www.cjtimis.ro,yes,200,https://www.cjtimis.ro,yes,yes,wordpress,https://www.cjtimis.ro/feed/,yes,2028-01-01,2021,
