judet,localitate,url,rss_url,tier,cms,site_viu,feed_viu,feed_items,newest_real_date,candidat_loader,activ_august,respins_motiv
ALBA,BUCIUM,https://primariabucium.ro,,comuna,unknown,no,no,,,no,no,site mort
ALBA,CRICAU,http://www.comunacricau.ro,,comuna,unknown,no,no,,,no,no,site mort
ALBA,ORAS CUGIR,http://www.primariacugir.ro,,oras,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,ORAS ABRUD,http://www.primaria-abrud.ro,,oras,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,CERU-BACAINTI,http://cerubacainti.ro,https://cerubacainti.ro/feed,comuna,wordpress,yes,yes,10,2025-03-10,no,no,
ALBA,CIURULEASA,https://primariaciuruleasa.ro,https://primariaciuruleasa.ro/index.php/feed/,comuna,wordpress,yes,yes,10,2026-07-27,yes,no,
ALBA,ARIESENI,http://www.primariaarieseni.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,FARAU,https://www.primariafarau.ro,https://www.primariafarau.ro/feed/,comuna,wordpress,yes,yes,10,2026-09-04,yes,yes,
ALBA,HOREA,http://primariahorea.ro,,comuna,unknown,no,no,,,no,no,site mort
ALBA,ORAS BAIA DE ARIES,http://www.baiadearies.ro,,oras,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,CIUGUD,https://www.primariaciugud.ro,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ALBA,GARBOVA,https://primaria-garbova.ro,https://primaria-garbova.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-24,yes,yes,
ALBA,ALBAC,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ALBA,BERGHIN,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ALBA,CUT,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ALBA,HOPARTA,https://www.primariahopirta.ro,https://www.primariahopirta.ro/feed/,comuna,wordpress,yes,yes,10,2026-09-03,yes,yes,
ALBA,LOPADEA NOUA,https://www.primarialopadeanoua.ro,,comuna,unknown,no,no,,,no,no,site mort
ALBA,CERGAU,https://www.primariacergau.ro,https://www.primariacergau.ro/feed/,comuna,wordpress,yes,yes,0,,no,no,
ALBA,ALMASU MARE,https://www.almasumare.ro,https://almasumare.ro/index.php/feed/,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ALBA,MUNICIPIUL BLAJ,http://primariablaj.ro,,municipiu,other,yes,no,,,no,no,feed nu raspunde
ALBA,LUNCA MURESULUI,https://www.lunca-muresului.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
