judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
BACAU,MUNICIPIUL ONESTI,http://www.onesti.ro,yes,200,https://onesti.ro/primarie_onesti/,yes,yes,drupal,,no,2026-01-01,,
BIHOR,ORAS STEI,https://www.primariastei.ro,yes,200,https://primariastei.ro/,yes,yes,drupal,https://primariastei.ro/rss.xml,yes,2025-01-01,2024,
GIURGIU,SLOBOZIA,http://primariaslobozia.ro,yes,200,https://primariaslobozia.ro,yes,yes,drupal,https://primariaslobozia.ro/rss.xml,yes,2026-07-09,2025,
IALOMITA,ORAS TANDAREI,http://primaria-tandarei.ro,yes,200,https://primaria-tandarei.ro,yes,yes,drupal,https://primaria-tandarei.ro/rss.xml,yes,2026-07-14,,
IALOMITA,MUNICIPIUL URZICENI,http://www.primaria-urziceni.ro,yes,200,https://primaria-urziceni.ro/primarie_urziceni/,yes,yes,drupal,,no,2026-01-01,,
IALOMITA,MARCULESTI,http://primariamarculesti.ro,yes,200,https://primariamarculesti.ro,yes,yes,drupal,https://primariamarculesti.ro/rss.xml,yes,2026-06-17,,
ILFOV,ORAS POPESTI LEORDENI,https://xn--primria-popeti-leordeni-7tc270e.ro,yes,200,https://xn--primria-popeti-leordeni-7tc270e.ro,yes,yes,drupal,https://xn--primria-popeti-leordeni-7tc270e.ro/rss.xml,yes,2025-01-01,2009,
SIBIU,DARLOS,https://www.primariadarlos.ro,yes,200,https://www.primariadarlos.ro,yes,yes,drupal,https://www.primariadarlos.ro/rss.xml,yes,2025-10-06,,
SATU MARE,MUNICIPIUL CAREI,https://www.municipiulcarei.ro,yes,200,https://www.municipiulcarei.ro/ro,yes,yes,drupal,https://www.municipiulcarei.ro/rss.xml,yes,2026-07-09,,
VRANCEA,GOLOGANU,https://www.primariagologanu.ro,yes,200,https://www.primariagologanu.ro,yes,yes,drupal,https://www.primariagologanu.ro/feed/,yes,2027-01-01,2019,
