judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ALBA,CIURULEASA,https://primariaciuruleasa.ro,yes,200,https://primariaciuruleasa.ro,,yes,wordpress,https://primariaciuruleasa.ro/index.php/feed/,yes,2026-07-27,,
ALBA,FARAU,https://www.primariafarau.ro,yes,200,https://www.primariafarau.ro,,yes,wordpress,https://www.primariafarau.ro/feed/,yes,2026-09-04,,
ALBA,GARBOVA,https://primaria-garbova.ro,yes,200,https://primaria-garbova.ro,,yes,wordpress,https://primaria-garbova.ro/feed/,yes,2026-08-24,,
ALBA,HOPARTA,https://www.primariahopirta.ro,yes,200,https://www.primariahopirta.ro,,yes,wordpress,https://www.primariahopirta.ro/feed/,yes,2026-09-03,,
ALBA,MIRASLAU,https://www.primariamiraslau.ro,yes,200,https://www.primariamiraslau.ro,,yes,wordpress,https://www.primariamiraslau.ro/feed/,yes,2026-09-04,,
ALBA,ORAS TEIUS,http://primariateius.ro,yes,200,http://primariateius.ro,,yes,wordpress,https://primariateius.ro/?feed=rss2,yes,2026-08-07,,
ALBA,ORAS OCNA MURES,https://www.primariaocnamures.ro,yes,200,https://www.primariaocnamures.ro,,yes,wordpress,https://www.primariaocnamures.ro/feed/,yes,2026-09-03,,
ALBA,JIDVEI,https://primariajidvei.ro,yes,200,https://primariajidvei.ro,,yes,wordpress,https://primariajidvei.ro/feed/,yes,2026-07-28,,
ALBA,NOSLAC,https://www.primarianoslac.ro,yes,200,https://www.primarianoslac.ro,,yes,wordpress,https://www.primarianoslac.ro/feed/,yes,2026-08-03,,
ALBA,MUNICIPIUL SEBES,https://www.primariasebes.ro,yes,200,https://www.primariasebes.ro,,yes,wordpress,https://www.primariasebes.ro/feed/,yes,2026-09-02,,
ALBA,METES,https://www.primariametes.ro,yes,200,https://www.primariametes.ro,,yes,wordpress,https://www.primariametes.ro/feed/,yes,2026-08-13,,
ALBA,LUPSA,https://www.primarialupsa.ro,yes,200,https://www.primarialupsa.ro,,yes,wordpress,https://primarialupsa.ro/feed/,yes,2026-06-22,,
ALBA,CETATEA DE BALTA,https://cetateadebalta.ro,yes,200,https://cetateadebalta.ro,,yes,wordpress,https://cetateadebalta.ro/feed/,yes,2026-08-06,,
ALBA,GALDA DE JOS,https://galda.ro,yes,200,https://galda.ro,,yes,wordpress,https://galda.ro/feed/,yes,2026-08-14,,
ALBA,ORAS ZLATNA,http://www.primaria-zlatna.ro/nou,yes,200,http://www.primaria-zlatna.ro/nou,,yes,wordpress,https://primaria-zlatna.ro/feed/,yes,2026-09-04,,
ALBA,CENADE,http://www.primariacenade.ro,yes,200,http://www.primariacenade.ro,,yes,wordpress,https://comunacenade.ro/feed/,yes,2026-09-01,,
ALBA,POIANA VADULUI,https://poianavadului.ro,yes,200,https://poianavadului.ro,,yes,wordpress,https://poianavadului.ro/feed/,yes,2026-04-29,,
ALBA,SALCIUA,https://comunasalciua.ro,yes,200,https://comunasalciua.ro,,yes,wordpress,https://comunasalciua.ro/feed/,yes,2026-08-26,,
ALBA,OCOLIS,https://ocolis-ab.ro,yes,200,https://ocolis-ab.ro,,yes,wordpress,https://ocolis-ab.ro/feed/,yes,2026-07-14,,
ARAD,APATEU,http://www.apateu.ro,yes,200,http://www.apateu.ro,,yes,wordpress,https://www.apateu.ro/feed/,yes,2026-07-07,,
ARAD,ORAS PANCOTA,https://primariapancota.ro,yes,200,https://primariapancota.ro,,yes,wordpress,https://primariapancota.ro/feed/,yes,2026-08-21,,
ARAD,BARSA,http://www.comunabirsa.ro,yes,200,http://www.comunabirsa.ro,,yes,wordpress,https://www.comunabirsa.ro/feed/,yes,2026-07-14,,
ARAD,ORAS NADLAC,http://primaria-nadlac.ro,yes,200,http://primaria-nadlac.ro,,yes,wordpress,https://primaria-nadlac.ro/feed/,yes,2026-09-03,,
ALBA,SONA,https://comunasona.ro,yes,200,https://comunasona.ro,,yes,wordpress,https://comunasona.ro/feed/,yes,2026-04-28,,
ARAD,ORAS INEU,http://primariaineu.ro,yes,200,http://primariaineu.ro,,yes,wordpress,https://primariaineu.ro/feed/,yes,2026-09-04,,
ARAD,ORAS CURTICI,https://primariacurtici.ro,yes,200,https://primariacurtici.ro,,yes,wordpress,https://primariacurtici.ro/feed/,yes,2026-08-31,,
ALBA,RAMETEA,https://www.primariarimetea.ro,yes,200,https://www.primariarimetea.ro,,yes,wordpress,https://primariarimetea.ro/feed/,yes,2026-07-01,,
ALBA,SUGAG,https://primariasugag.ro,yes,200,https://primariasugag.ro,,yes,wordpress,https://primariasugag.ro/feed/,yes,2026-08-06,,
ALBA,VADU MOTILOR,https://vadumotilor.ro,yes,200,https://vadumotilor.ro,,yes,wordpress,https://vadu-motilor.ro/feed/,yes,2026-09-01,,
ARAD,CERMEI,http://comuna-cermei.ro,yes,200,http://comuna-cermei.ro,,yes,wordpress,https://comuna-cermei.ro/feed/,yes,2026-09-03,,
ARAD,ORAS PECICA,https://www.pecica.ro,yes,200,https://www.pecica.ro,,yes,wordpress,https://www.pecica.ro/feed/,yes,2026-09-04,,
ALBA,STREMT,https://www.primariastremt.ro,yes,200,https://www.primariastremt.ro,,yes,wordpress,https://primariastremt.ro/feed/,yes,2026-08-19,,
ALBA,VALEA LUNGA,https://comunavalealunga.ro,yes,200,https://comunavalealunga.ro,,yes,wordpress,https://comunavalealunga.ro/feed/,yes,2026-07-27,,
ARAD,CARAND,http://comuna-carand.ro,yes,200,http://comuna-carand.ro,,yes,wordpress,https://comuna-carand.ro/feed/,yes,2026-08-10,,
ARAD,ORAS SEBIS,http://primariasebis.ro,yes,200,http://primariasebis.ro,,yes,wordpress,https://primariasebis.ro/feed/,yes,2026-06-03,,
ARAD,IRATOSU,https://iratosu.ro,yes,200,https://iratosu.ro,,yes,wordpress,https://iratosu.ro/feed/,yes,2026-08-26,,
ARAD,IGNESTI,https://primariaignesti.ro,yes,200,https://primariaignesti.ro,,yes,wordpress,https://primariaignesti.ro/feed/,yes,2026-09-02,,
ALBA,SALISTEA,https://comuna-salistea.ro,yes,200,https://comuna-salistea.ro,,yes,wordpress,https://comuna-salistea.ro/feed/,yes,2026-06-11,,
ARAD,FELNAC,http://primaria-felnac.ro,yes,200,http://primaria-felnac.ro,,yes,wordpress,https://primaria-felnac.ro/feed/,yes,2026-08-25,,
ARAD,SELEUS,https://comuna-seleus.ro,yes,200,https://comuna-seleus.ro,,yes,wordpress,https://comuna-seleus.ro/feed/,yes,2026-08-31,,
ARAD,PILU,http://www.comunapilu.ro,yes,200,http://www.comunapilu.ro,,yes,wordpress,https://comunapilu.ro/feed/,yes,2026-08-26,,
ARAD,SEMLAC,https://www.semlac.ro,yes,200,https://www.semlac.ro,,yes,wordpress,https://www.semlac.ro/feed/,yes,2026-01-15,,
ALBA,DOSTAT,https://comuna-dostat.ro,yes,200,https://comuna-dostat.ro,,yes,wordpress,https://comuna-dostat.ro/feed/,yes,2026-07-06,,
ARGES,ORAS COSTESTI,https://primariacostestiag.ro,yes,200,https://primariacostestiag.ro,,yes,wordpress,https://primariacostestiag.ro/feed,yes,2026-08-31,,
ARAD,ZARAND,https://primariazarand.ro,yes,200,https://primariazarand.ro,,yes,wordpress,https://primariazarand.ro/feed/,yes,2026-07-28,,
ARGES,ORAS STEFANESTI,https://www.stefanesti-arges.ro,yes,200,https://www.stefanesti-arges.ro,,yes,wordpress,https://stefanesti-arges.ro/feed/,yes,2026-07-21,,
ARGES,BOTENI,https://comunaboteni.ro,yes,200,https://comunaboteni.ro,,yes,wordpress,https://comunaboteni.ro/feed/,yes,2026-06-03,,
ARGES,CORBI,http://www.primariacorbi.com,yes,200,http://www.primariacorbi.com,,yes,wordpress,https://www.primariacorbi.com/?feed=rss2,yes,2026-08-11,,
ARGES,HARSESTI,https://www.comunaharsesti.ro,yes,200,https://www.comunaharsesti.ro,,yes,wordpress,https://www.comunaharsesti.ro/feed/,yes,2026-01-26,,
ARAD,BOCSIG,http://www.bocsig.ro,yes,200,http://www.bocsig.ro,,yes,wordpress,https://bocsig.ro/feed/,yes,2026-09-04,,
ARGES,MARACINENI,https://www.comunamaracineni.ro,yes,200,https://www.comunamaracineni.ro,,yes,wordpress,https://www.comunamaracineni.ro/feed/,yes,2026-08-12,,
ARGES,MICESTI,https://www.comunamicesti.ro,yes,200,https://www.comunamicesti.ro,,yes,wordpress,https://comunamicesti.ro/feed,yes,2026-09-03,,
ARGES,OARJA,http://oarjaprimarie.ro,yes,200,http://oarjaprimarie.ro,,yes,wordpress,https://oarjaprimarie.ro/feed/,yes,2026-06-10,,
ARGES,PRIBOIENI,http://www.priboieni.ro/ag,yes,200,http://www.priboieni.ro/ag,,yes,wordpress,https://www.priboieni.ro/feed/,yes,2026-06-25,,
ARGES,POIENARII DE MUSCEL,http://www.poienariidemuscel.ro,yes,200,http://www.poienariidemuscel.ro,,yes,wordpress,https://poienariidemuscel.ro/feed/,yes,2026-07-02,,
ARGES,PIETROSANI,https://www.primariacomuneipietrosani.ro,yes,200,https://www.primariacomuneipietrosani.ro,,yes,wordpress,https://www.primariacomuneipietrosani.ro/feed/,yes,2026-06-16,,
ARGES,STEFAN CEL MARE,https://www.comunastefancelmare.ro,yes,200,https://www.comunastefancelmare.ro,,yes,wordpress,https://www.comunastefancelmare.ro/feed,yes,2026-08-28,,
ARGES,VALEA DANULUI,https://valeadanului.ro,yes,200,https://valeadanului.ro,,yes,wordpress,https://valeadanului.ro/feed/,yes,2026-09-01,,
ARGES,VALEA IASULUI,https://www.comunavaleaiasului.ro,yes,200,https://www.comunavaleaiasului.ro,,yes,wordpress,https://comunavaleaiasului.ro/feed/,yes,2026-08-25,,
ARGES,STOENESTI,https://primariastoenestiag.ro,yes,200,https://primariastoenestiag.ro,,yes,wordpress,https://primariastoenestiag.ro/feed/,yes,2026-08-27,,
BACAU,MUNICIPIUL BACAU,https://municipiulbacau.ro,yes,200,https://municipiulbacau.ro,,yes,wordpress,https://municipiulbacau.ro/feed/,yes,2026-09-03,,
BACAU,AGAS,http://primaria-agas.ro,yes,200,http://primaria-agas.ro,,yes,wordpress,https://primaria-agas.ro/feed/,yes,2026-09-03,,
BACAU,ORAS DARMANESTI,https://orasuldarmanesti.ro,yes,200,https://orasuldarmanesti.ro,,yes,other,https://orasuldarmanesti.ro/feed/,yes,2026-09-03,,
BACAU,ORAS BUHUSI,https://www.primariabuhusi.ro,yes,200,https://www.primariabuhusi.ro,,yes,wordpress,https://primariabuhusi.ro/feed/,yes,2026-09-04,,
BACAU,BERZUNTI,http://comunaberzunti.ro,yes,200,http://comunaberzunti.ro,,yes,other,https://comunaberzunti.ro/feed/,yes,2026-09-03,,
BACAU,ARDEOANI,https://comunaardeoani.ro,yes,200,https://comunaardeoani.ro,,yes,wordpress,https://comunaardeoani.ro/feed/,yes,2026-08-03,,
BACAU,BUHOCI,https://comunabuhoci.ro,yes,200,https://comunabuhoci.ro,,yes,wordpress,https://comunabuhoci.ro/feed/,yes,2026-09-01,,
ARGES,STALPENI,https://stalpeni.ro,yes,200,https://stalpeni.ro,,yes,wordpress,https://stalpeni.ro/feed/,yes,2026-05-11,,
BACAU,ORAS TARGU OCNA,https://orasul-targuocna.ro,yes,200,https://orasul-targuocna.ro,,yes,wordpress,https://www.orasul-targuocna.ro/feed/,yes,2026-08-28,,
BACAU,BARSANESTI,https://comunabirsanesti.ro,yes,200,https://comunabirsanesti.ro,,yes,wordpress,https://comunabirsanesti.ro/feed/,yes,2026-09-01,,
BACAU,BOGDANESTI,https://www.primariabogdanestibacau.ro,yes,200,https://www.primariabogdanestibacau.ro,,yes,other,https://www.primariabogdanestibacau.ro/feed/,yes,2026-08-20,,
BACAU,CORBASCA,https://www.primariacorbasca.ro,yes,200,https://www.primariacorbasca.ro,,yes,wordpress,https://www.primariacorbasca.ro/feed/,yes,2026-02-02,,
BACAU,GARLENI,https://primariagarleni.ro,yes,200,https://primariagarleni.ro,,yes,wordpress,https://primariagarleni.ro/feed/,yes,2026-09-03,,
BACAU,CASIN,https://comunacasin.ro,yes,200,https://comunacasin.ro,,yes,wordpress,https://comunacasin.ro/feed/,yes,2026-08-19,,
BACAU,COLONESTI,https://primaria-colonesti.ro,yes,200,https://primaria-colonesti.ro,,yes,other,https://primaria-colonesti.ro/feed/,yes,2026-09-03,,
