judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ARGES,GODENI,http://www.primariagodeni.ro,yes,200,http://www.primariagodeni.ro,no,yes,other,,no,2028-01-01,,
ARGES,SCHITU GOLESTI,http://www.schitugolesti.ro,yes,200,http://www.schitugolesti.ro/,no,yes,other,,no,2027-01-01,,
BRAILA,BARAGANUL,http://www.primariabaraganul.ro,yes,200,http://www.primariabaraganul.ro,no,yes,joomla,,no,2026-01-01,,
CARAS-SEVERIN,GLIMBOCA,http://www.primaria-glimboca.ro,yes,200,http://www.primaria-glimboca.ro,no,yes,wordpress,http://www.primaria-glimboca.ro/?feed=rss2,yes,2025-01-01,,
CARAS-SEVERIN,MARGA,http://comuna-marga.ro,yes,200,http://comuna-marga.ro,no,yes,wordpress,http://comuna-marga.ro/index.php/feed/,yes,2026-01-01,,
CARAS-SEVERIN,OBREJA,http://primaria-obreja.ro,yes,200,http://primaria-obreja.ro,no,yes,wordpress,http://primaria-obreja.ro/?feed=rss2,yes,2025-01-01,,
CARAS-SEVERIN,MEHADICA,http://mehadica.ro,yes,200,http://mehadica.ro,no,yes,wordpress,http://mehadica.ro/index.php/feed/,yes,2026-01-01,,
CARAS-SEVERIN,TURNU RUIENI,http://www.comuna-turnuruieni.ro,yes,200,http://www.comuna-turnuruieni.ro,no,yes,wordpress,http://www.comuna-turnuruieni.ro/index.php/feed/,yes,2024-01-01,,
CARAS-SEVERIN,TOPLET,http://www.primaria-toplet.ro,yes,200,http://www.primaria-toplet.ro,no,yes,wordpress,http://www.primaria-toplet.ro/?feed=rss2,yes,2025-01-01,,
CALARASI,LEHLIU,http://www.comunalehliu.ro,yes,200,http://www.comunalehliu.ro,no,yes,other,,no,2026-01-01,2026,
COVASNA,ORAS INTORSURA BUZAULUI,http://www.intorsura.info,yes,200,http://www.intorsura.info,no,yes,wordpress,http://www.intorsura.info/feed/,yes,2026-03-31,,
DAMBOVITA,VISINA,https://primariavisina-db.ro,yes,200,http://primariavisina-db.ro,no,yes,other,,no,2026-01-01,2026,
