judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ALBA,UNIREA,https://www.primariaunireaalba.ro,yes,200,https://www.primariaunireaalba.ro,yes,yes,joomla,,no,2024-01-01,2013,
ARGES,ORAS MIOVENI,https://emioveni.ro,yes,200,https://emioveni.ro,yes,yes,joomla,https://emioveni.ro/?format=feed&type=rss,yes,2027-01-01,,
ARGES,BABANA,https://www.primariababana.ro,yes,200,https://www.primariababana.ro,yes,yes,joomla,https://www.primariababana.ro/?format=feed&type=rss,yes,2021-01-01,,
ARGES,DOMNESTI,http://primariadomnestiag.ro,yes,200,https://primariadomnestiag.ro,yes,yes,joomla,,no,2026-01-01,2026,
BACAU,ORAS COMANESTI,http://www.primariacomanesti.ro,yes,200,https://www.primariacomanesti.ro,yes,yes,joomla,https://www.primariacomanesti.ro/?format=feed&type=rss,yes,2027-01-01,2006,
BACAU,BALCANI,https://www.primaria-balcani.ro,yes,200,https://www.primaria-balcani.ro,yes,yes,joomla,,no,2027-01-01,,
BACAU,ZEMES,http://zemes.ro,yes,200,https://zemes.ro,yes,yes,joomla,,no,2026-01-01,,
BOTOSANI,MUNICIPIUL DOROHOI,http://www.primariadorohoi.ro,yes,200,https://www.primariadorohoi.ro,yes,yes,joomla,https://www.primariadorohoi.ro/index.php?format=feed&type=rss,yes,2028-01-01,,
BOTOSANI,HANESTI,http://comunahanesti.ro,yes,200,https://comunahanesti.ro,yes,yes,joomla,https://comunahanesti.ro/index.php?format=feed&type=rss,yes,2026-01-01,,
BOTOSANI,RACHITI,http://primariarachiti.ro/index.php/primaria-rachiti-26,yes,200,https://primariarachiti.ro/index.php/primaria-rachiti-26,yes,yes,joomla,,no,2026-01-01,,
BRASOV,AUGUSTIN,https://www.primariaaugustin.ro,yes,200,https://www.primariaaugustin.ro,yes,yes,joomla,https://www.primariaaugustin.ro/?format=feed&type=rss,yes,2026-01-01,,
BRASOV,MUNICIPIUL CODLEA,https://municipiulcodlea.ro,yes,200,https://municipiulcodlea.ro,yes,yes,joomla,,no,2026-01-01,2026,
BRASOV,ORMENIS,http://www.primariaormenis.ro,yes,200,https://www.primariaormenis.ro,yes,yes,joomla,https://www.primariaormenis.ro/index.php?format=feed&type=rss,yes,2026-01-01,,
BRASOV,BUDILA,https://www.budila.ro,yes,200,https://ro.budila.ro/,yes,yes,joomla,,no,2025-01-01,2021,
BRAILA,BARAGANUL,http://www.primariabaraganul.ro,yes,200,http://www.primariabaraganul.ro,no,yes,joomla,,no,2026-01-01,,
BRAILA,RAMNICELU,http://www.primariarimnicelu.ro,yes,200,https://www.primariarimnicelu.ro,yes,yes,joomla,https://www.primariarimnicelu.ro/index.php?format=feed&type=rss,yes,2013-05-30,,
BRAILA,BORDEI VERDE,https://www.primariabordeiverde.ro,yes,200,https://www.primariabordeiverde.ro,yes,yes,joomla,,no,2026-01-01,2026,
BRAILA,STANCUTA,http://stancuta.ro,yes,200,https://stancuta.ro,yes,yes,joomla,,no,2026-01-01,,
BRAILA,SCORTARU NOU,https://www.primariascortarunou.ro,yes,200,https://www.primariascortarunou.ro,yes,yes,joomla,,no,2026-01-01,,
BUZAU,LARGU,http://primarialargu.ro/2019,yes,200,https://primarialargu.ro/2019/,yes,yes,joomla,https://primarialargu.ro/2019/?format=feed&type=rss,yes,2023-01-01,2019,
BUZAU,SCUTELNICI,http://www.primariascutelnici.ro/2019,yes,200,https://www.primariascutelnici.ro/2019/,yes,yes,joomla,,no,2026-01-01,2019,
CALARASI,CRIVAT,http://www.comunacrivat.ro,yes,200,https://www.comunacrivat.ro,yes,yes,joomla,,no,2026-01-01,,
CALARASI,BELCIUGATELE,http://belciugatele.ro,yes,200,https://belciugatele.ro,yes,yes,joomla,,no,2026-01-01,,
CALARASI,ORAS FUNDULEA,http://www.primaria-fundulea.ro,yes,200,https://www.primaria-fundulea.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,BORCEA,http://primariaborcea.ro,yes,200,https://primariaborcea.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,DICHISENI,http://www.primariadichiseni.ro,yes,200,https://www.primariadichiseni.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,CIOCANESTI,http://www.primaria-ciocanesti.ro,yes,200,https://www.primaria-ciocanesti.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,FRUMUSANI,https://www.primaria-frumusani.ro,yes,200,https://www.primaria-frumusani.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,CHISELET,http://www.primariachiselet.ro,yes,200,https://www.primariachiselet.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,SOLDANU,https://primaria-soldanu.ro,yes,200,https://primaria-soldanu.ro,yes,yes,joomla,,no,2027-01-01,2026,
CALARASI,JEGALIA,http://www.primariajegalia.ro,yes,200,https://www.primariajegalia.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,GALBINASI,https://primaria-galbinasi.ro,yes,200,https://primaria-galbinasi.ro,yes,yes,joomla,,no,2029-01-01,2026,
CALARASI,DRAGOS VODA,https://primariadragosvoda.ro,yes,200,https://primariadragosvoda.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,MITRENI,http://www.primariamitreni.ro,yes,200,https://www.primariamitreni.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,LUICA,http://www.primaria-luica.ro,yes,200,https://www.primaria-luica.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,GRADISTEA,http://primariagradistea.ro,yes,200,https://primariagradistea.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,RADOVANU,http://primaria-radovanu.ro,yes,200,https://primaria-radovanu.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,SPANTOV,https://www.comunaspantov.ro,yes,200,https://www.comunaspantov.ro,yes,yes,joomla,,no,2026-01-01,2026,
CALARASI,FRASINET,http://www.primariacomuneifrasinet.ro,yes,200,https://www.primariacomuneifrasinet.ro,yes,yes,joomla,,no,2027-01-01,2026,
