judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ALBA,NOSLAC,https://www.primarianoslac.ro,yes,200,https://www.primarianoslac.ro,yes,yes,wordpress,https://www.primarianoslac.ro/feed/,yes,2027-01-01,,
ALBA,ALMASU MARE,https://www.almasumare.ro,yes,200,https://almasumare.ro/,yes,unclear,wordpress,https://almasumare.ro/index.php/feed/,yes,2023-01-01,,
ALBA,GARDA DE SUS,https://comunagardadesus.ro,yes,200,https://comunagardadesus.ro,yes,yes,wordpress,https://comunagardadesus.ro/feed/,yes,2024-01-01,,
ALBA,SONA,https://comunasona.ro,yes,200,https://comunasona.ro,yes,yes,wordpress,https://comunasona.ro/feed/,yes,2024-09-24,,
ALBA,SOHODOL,https://primariasohodol.ro,yes,200,https://primariasohodol.ro,yes,yes,wordpress,https://primariasohodol.ro/feed/,yes,2024-01-01,,
ALBA,METES,https://www.primariametes.ro,yes,200,https://www.primariametes.ro,yes,yes,wordpress,https://www.primariametes.ro/feed/,yes,2028-01-01,,
ALBA,ORAS OCNA MURES,https://www.primariaocnamures.ro,yes,200,https://www.primariaocnamures.ro,yes,yes,wordpress,https://www.primariaocnamures.ro/feed/,yes,2028-01-01,,
ALBA,SASCIORI,http://www.comunasasciori.ro,yes,200,https://www.comunasasciori.ro,yes,yes,e-adm,,no,2024-01-01,2017,
ALBA,OCOLIS,https://ocolis-ab.ro,yes,200,https://ocolis-ab.ro,yes,yes,wordpress,https://ocolis-ab.ro/feed/,yes,2027-01-01,,
ALBA,VIDRA,https://primariavidra-ab.ro,yes,200,https://primariavidra-ab.ro,yes,yes,wordpress,https://primariavidra-ab.ro/feed/,yes,2024-01-01,,
ALBA,UNIREA,https://www.primariaunireaalba.ro,yes,200,https://www.primariaunireaalba.ro,yes,yes,joomla,,no,2024-01-01,2013,
ARAD,ORAS CURTICI,https://primariacurtici.ro,yes,200,https://primariacurtici.ro,yes,yes,wordpress,https://primariacurtici.ro/feed/,yes,9839-10-06,2026,
ALBA,CETATEA DE BALTA,https://cetateadebalta.ro,yes,200,https://cetateadebalta.ro,yes,yes,wordpress,https://cetateadebalta.ro/feed/,yes,2022-07-22,,
ARAD,ORAS NADLAC,http://primaria-nadlac.ro,yes,200,https://primaria-nadlac.ro,yes,yes,wordpress,https://primaria-nadlac.ro/feed/,yes,2028-01-01,2012,
ALBA,RAMETEA,https://www.primariarimetea.ro,yes,200,https://primariarimetea.ro/,yes,yes,wordpress,https://primariarimetea.ro/feed/,yes,2023-02-20,,
ARAD,CERMEI,http://comuna-cermei.ro,yes,200,https://comuna-cermei.ro,yes,yes,wordpress,https://comuna-cermei.ro/feed/,yes,1012-01-04,,
ARAD,ORAS INEU,http://primariaineu.ro,yes,200,https://primariaineu.ro,yes,yes,wordpress,https://primariaineu.ro/feed/,yes,2029-01-01,,
ARAD,HALMAGEL,https://halmagel.ro,yes,200,https://halmagel.ro,yes,yes,wordpress,https://halmagel.ro/feed/,yes,2028-01-01,,
ARAD,SECUSIGIU,https://www.primariasecusigiuar.ro,yes,200,https://www.primariasecusigiuar.ro,yes,yes,other,,no,2029-01-01,2024,
