judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ALBA,PIANU,https://www.primariapianu.ro,yes,200,https://www.primariapianu.ro,yes,yes,other,,no,2026-01-01,,
ALBA,RADESTI,http://www.primariaradesti.ro,yes,200,https://www.primariaradesti.ro,yes,yes,other,,no,,,
ALBA,ORAS CUGIR,http://www.primariacugir.ro,yes,200,https://primariacugir.ro/site,yes,yes,other,,no,2026-01-01,2026,
ALBA,MUNICIPIUL ALBA IULIA,https://apulum.ro,yes,200,https://apulum.ro,yes,yes,other,,no,2026-01-01,,
ALBA,MUNICIPIUL BLAJ,http://primariablaj.ro,yes,200,https://municipiulblaj.ro/,yes,yes,other,,no,,,
ALBA,MUNICIPIUL AIUD,http://www.aiud.ro,yes,200,https://www.aiud.ro,yes,yes,other,,no,2026-01-01,,
ARAD,ORAS LIPOVA,https://www.primarialipova.ro,yes,200,https://www.primarialipova.ro,yes,yes,other,,no,2026-01-01,2026,
ALBA,SANCEL,https://www.primariasincel.ro,yes,200,https://primariasincel.ro/,yes,yes,other,,no,2026-01-01,,
ARAD,SECUSIGIU,https://www.primariasecusigiuar.ro,yes,200,https://www.primariasecusigiuar.ro,yes,yes,other,,no,2029-01-01,2024,
ARAD,FRUMUSENI,https://www.frumuseni.ro,yes,200,https://www.frumuseni.ro,yes,yes,other,,no,2026-01-01,,
ARAD,VARADIA DE MURES,https://varadia-de-mures.ro,yes,200,https://varadia-de-mures.ro,yes,yes,other,,no,2025-01-01,2024,
ARAD,ZABRANI,https://www.primaria-zabrani.ro,yes,200,https://www.primaria-zabrani.ro,yes,yes,other,,no,2026-01-01,,
ARAD,OLARI,http://www.comunaolari.ro,yes,200,https://comunaolari.ro/,yes,yes,other,,no,2026-01-01,2023,
ARAD,CONOP,https://www.primariaconop.ro,yes,200,https://primariaconop.ro/ro,yes,yes,other,,no,2026-01-01,,
ARGES,BEREVOESTI,https://primariaberevoesti.weebly.com,yes,200,https://primariaberevoesti.weebly.com,yes,yes,other,,no,,,
ARGES,CETATENI,http://www.primariecetateni.ro/index.php,yes,200,https://www.primariecetateni.ro/index.php,yes,yes,other,,no,2022-01-01,,
ARGES,GODENI,http://www.primariagodeni.ro,yes,200,http://www.primariagodeni.ro,no,yes,other,,no,2028-01-01,,
ARGES,CEPARI,https://primariacepari.ro/acasa,yes,200,https://primariacepari.ro/acasa,yes,yes,other,,no,,,
ARGES,SCHITU GOLESTI,http://www.schitugolesti.ro,yes,200,http://www.schitugolesti.ro/,no,yes,other,,no,2027-01-01,,
ARGES,BALILESTI,https://www.primariabalilesti.ro,yes,200,https://www.primariabalilesti.ro,yes,yes,other,,no,2026-01-01,,
ARGES,STOLNICI,https://comunastolnici.ro,yes,200,https://comunastolnici.ro,yes,yes,other,,no,,,
BACAU,ORAS DARMANESTI,https://orasuldarmanesti.ro,yes,200,https://orasuldarmanesti.ro,yes,yes,other,https://orasuldarmanesti.ro/feed/,yes,2029-01-01,2025,
BACAU,COTOFANESTI,https://comunacotofanesti.ro,yes,200,https://comunacotofanesti.ro,yes,yes,other,https://comunacotofanesti.ro/feed/,yes,2026-01-01,2022,
BACAU,BERZUNTI,http://comunaberzunti.ro,yes,200,https://comunaberzunti.ro,yes,yes,other,https://comunaberzunti.ro/feed/,yes,2027-01-01,,
BACAU,COLONESTI,https://primaria-colonesti.ro,yes,200,https://primaria-colonesti.ro,yes,yes,other,https://primaria-colonesti.ro/feed/,yes,2027-01-01,2023,
BACAU,BOGDANESTI,https://www.primariabogdanestibacau.ro,yes,200,https://www.primariabogdanestibacau.ro,yes,yes,other,https://www.primariabogdanestibacau.ro/feed/,yes,2026-01-01,2022,
BACAU,LETEA VECHE,https://primarialeteaveche.ro,yes,200,https://primarialeteaveche.ro,yes,yes,other,https://primarialeteaveche.ro/feed/,yes,2026-01-01,,
BACAU,CLEJA,https://www.primariacleja.ro,yes,200,https://primariacleja.ro/,yes,yes,other,https://primariacleja.ro/feed/,yes,2026-01-01,2022,
BACAU,FILIPESTI,https://www.primaria-filipesti.ro,yes,200,https://primaria-filipesti.ro/,yes,yes,other,https://primaria-filipesti.ro/feed/,yes,2026-05-05,2022,
BACAU,NICOLAE BALCESCU,https://www.primaria-nicolae-balcescu.ro,yes,200,https://primaria-nicolae-balcescu.ro/,yes,yes,other,https://primaria-nicolae-balcescu.ro/feed/,yes,2027-01-01,2023,
BACAU,LUIZI-CALUGARA,https://www.comunaluizicalugara.ro,yes,200,https://comunaluizicalugara.ro/,yes,yes,other,https://comunaluizicalugara.ro/feed/,yes,2027-01-01,,
BACAU,BRUSTUROASA,https://www.brusturoasa.ro,yes,200,https://www.brusturoasa.ro,yes,yes,other,,no,2026-01-01,,
BACAU,RACACIUNI,http://www.comunaracaciuni.ro,yes,200,https://www.comunaracaciuni.ro,yes,yes,other,,no,2026-01-01,,
