judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ALBA,PIANU,https://www.primariapianu.ro,yes,200,https://www.primariapianu.ro,yes,yes,other,,no,2026-01-01,,
ALBA,RADESTI,http://www.primariaradesti.ro,yes,200,https://www.primariaradesti.ro,yes,yes,other,,no,,,
ALBA,SASCIORI,http://www.comunasasciori.ro,yes,200,https://www.comunasasciori.ro,yes,yes,e-adm,,no,2024-01-01,2017,
ALBA,ORAS CUGIR,http://www.primariacugir.ro,yes,200,https://primariacugir.ro/site,yes,yes,other,,no,2026-01-01,2026,
ALBA,MUNICIPIUL ALBA IULIA,https://apulum.ro,yes,200,https://apulum.ro,yes,yes,other,,no,2026-01-01,,
ALBA,MUNICIPIUL BLAJ,http://primariablaj.ro,yes,200,https://municipiulblaj.ro/,yes,yes,other,,no,,,
ALBA,MUNICIPIUL AIUD,http://www.aiud.ro,yes,200,https://www.aiud.ro,yes,yes,other,,no,2026-01-01,,
ALBA,UNIREA,https://www.primariaunireaalba.ro,yes,200,https://www.primariaunireaalba.ro,yes,yes,joomla,,no,2024-01-01,2013,
ALBA,CRICAU,http://www.comunacricau.ro,yes,200,https://www.cricau.ro/,yes,yes,e-adm,,no,,,
ALBA,CIUGUD,https://www.primariaciugud.ro,yes,200,https://www.primariaciugud.ro,yes,yes,e-adm,,no,2026-01-01,2026,
ALBA,MOGOS,https://comunamogos.ro,yes,200,https://comunamogos.ro,yes,yes,wordpress,,no,2025-01-01,,
ARAD,MUNICIPIUL ARAD,https://www.primariaarad.ro,yes,200,https://www.primariaarad.ro,yes,yes,wordpress,,no,2026-01-01,2021,
ARAD,ORAS LIPOVA,https://www.primarialipova.ro,yes,200,https://www.primarialipova.ro,yes,yes,other,,no,2026-01-01,2026,
ALBA,SANCEL,https://www.primariasincel.ro,yes,200,https://primariasincel.ro/,yes,yes,other,,no,2026-01-01,,
ALBA,CRACIUNELU DE JOS,https://www.craciuneludejos.ro,yes,200,https://craciuneludejos.ro/,yes,yes,e-adm,,no,2026-01-01,,
ARAD,GRANICERI,http://www.graniceri.ro,yes,200,https://www.graniceri.ro,yes,yes,wordpress,,no,2026-01-01,,
ARAD,SECUSIGIU,https://www.primariasecusigiuar.ro,yes,200,https://www.primariasecusigiuar.ro,yes,yes,other,,no,2029-01-01,2024,
ARAD,FRUMUSENI,https://www.frumuseni.ro,yes,200,https://www.frumuseni.ro,yes,yes,other,,no,2026-01-01,,
ARAD,MACEA,https://macea.ro,yes,200,https://macea.ro,yes,yes,wordpress,,no,2026-01-01,,
ARAD,VARADIA DE MURES,https://varadia-de-mures.ro,yes,200,https://varadia-de-mures.ro,yes,yes,other,,no,2025-01-01,2024,
ARAD,ZABRANI,https://www.primaria-zabrani.ro,yes,200,https://www.primaria-zabrani.ro,yes,yes,other,,no,2026-01-01,,
ARAD,OLARI,http://www.comunaolari.ro,yes,200,https://comunaolari.ro/,yes,yes,other,,no,2026-01-01,2023,
ARAD,ORAS SANTANA,https://www.primariasantana.ro/ro,yes,200,https://www.primariasantana.ro/ro/,yes,yes,e-adm,,no,2026-01-01,,
ARAD,COVASINT,https://www.primariacovasint.ro,yes,200,https://primariacovasint.ro/,yes,yes,e-adm,,no,2026-01-01,,
ARAD,ORAS CHISINEU-CRIS,https://primariachisineucris.ro,yes,200,https://primariachisineucris.ro,yes,yes,wordpress,,no,2029-01-01,,
ARAD,ALMAS,https://comuna-almas.ro,yes,200,https://comuna-almas.ro,yes,yes,wordpress,,no,2026-01-01,,
ARAD,CONOP,https://www.primariaconop.ro,yes,200,https://primariaconop.ro/ro,yes,yes,other,,no,2026-01-01,,
ARGES,MUNICIPIUL PITESTI,http://www.primariapitesti.ro,yes,200,https://www.primariapitesti.ro,yes,yes,e-adm,,no,2027-01-01,,
ARGES,ALBESTII DE MUSCEL,https://www.cjarges.ro/en/web/albestii-de-muscel,yes,200,https://www.cjarges.ro/en/web/albestii-de-muscel,yes,yes,e-adm,,no,,,
ARAD,MONEASA,https://primariamoneasa.ro,yes,200,https://primariamoneasa.ro,yes,yes,wordpress,,no,2026-01-01,,
ARGES,MUNICIPIUL CAMPULUNG,http://www.primariacampulung.ro,yes,200,https://www.primariacampulung.ro,yes,yes,wordpress,,no,2027-01-01,2022,
ARGES,ALBOTA,https://www.cjarges.ro/en/web/albota,yes,200,https://www.cjarges.ro/en/web/albota,yes,yes,e-adm,,no,2024-01-01,,
ARGES,BARLA,https://www.cjarges.ro/en/web/barla,yes,200,https://www.cjarges.ro/en/web/barla,yes,yes,e-adm,,no,2022-01-01,,
ARAD,SINTEA MARE,https://sintea-mare.ro,yes,200,https://sintea-mare.ro,yes,yes,wordpress,,no,2026-01-01,,
