Județ,Localitate,Website,Email,Telefon
ALBA,MUNICIPIUL ALBA IULIA,https://apulum.ro/,office@apulum.ro,258819462
ALBA,MUNICIPIUL AIUD,http://www.aiud.ro/,office@aiud.ro,258861310
ALBA,MUNICIPIUL BLAJ,http://primariablaj.ro/,primarieblaj@rcnet.ro,756089214
ALBA,MUNICIPIUL SEBES,https://www.primariasebes.ro/,secretariat@primariasebes.ro,258710110
ALBA,ORAS ABRUD,http://www.primaria-abrud.ro/,primariaabrud@yahoo.com,258780519
ALBA,ORAS BAIA DE ARIES,http://www.baiadearies.ro/,primbaia@yahoo.com,258775002
ALBA,ORAS CAMPENI,http://www.primariacimpeni.ro/,primaria_cimpeni@yahoo.com,258771215
ALBA,ORAS CUGIR,http://www.primariacugir.ro/,office@primariacugir.ro,258751001
ALBA,ORAS OCNA MURES,https://www.primariaocnamures.ro/,contact@primariaocnamures.ro,258871257
ALBA,ORAS TEIUS,http://primariateius.ro/,primaria_orasului_teius@yahoo.com,258851101
ALBA,ORAS ZLATNA,http://www.primaria-zlatna.ro/nou/,pr_zlatna@primariazlatna.ro,258856337
ALBA,ALBAC,N/A,primaria_albac@yahoo.com,258777501
ALBA,ALMASU MARE,https://www.almasumare.ro/,primaria_almasu_mare@yahoo.com,258850105
ALBA,ARIESENI,http://www.primariaarieseni.ro/,arieseni@ab.e-adm.ro,258402989
ALBA,AVRAM IANCU,http://www.primariaavramiancu.ro/,uatcavramiancu@primariaavramiancu.ro,258786057
ALBA,BERGHIN,N/A,primariaberghin@yahoo.com,258854101
ALBA,BISTRA,https://bistra.ro/,primar@bistra.ro,258773105
ALBA,BLANDIANA,https://comuna-blandiana.ro/,primariablandiana@yahoo.com,258760811
ALBA,BUCERDEA GRANOASA,https://bucerdea-granoasa.ro/site/,primar@bucerdea-granoasa.ro,258883301
ALBA,BUCIUM,https://primariabucium.ro/,primaria@primariabucium.ro,258784112
ALBA,CALNIC,https://www.primaria-calnic.ro/,primaria_calnic@yahoo.com,258747050
ALBA,CENADE,http://www.primariacenade.ro/,cenade@ab.e-adm.ro,258789003
ALBA,CERGAU,https://www.primariacergau.ro/,primariacergau@yahoo.com,258719302
ALBA,CERU-BACAINTI,http://cerubacainti.ro/,primariacerubacainti@yahoo.com,258700840
ALBA,CETATEA DE BALTA,https://cetateadebalta.ro/,primariacdb@yahoo.com,258886364
ALBA,CIUGUD,https://www.primariaciugud.ro,office@primariaciugud.ro,258841205
ALBA,CIURULEASA,https://primariaciuruleasa.ro/,primariaciuruleasa@gmail.com,258780605
ALBA,CRACIUNELU DE JOS,https://www.craciuneludejos.ro/,prim_craciuneludejos@yahoo.com,258883501
ALBA,CRICAU,http://www.comunacricau.ro/,cricauprimaria@yahoo.com,258845019
ALBA,CUT,N/A,primariacut@yahoo.com,258745111
ALBA,DAIA ROMANA,https://primariadaiaromana.ro/,daiaprimaria@yahoo.com,258763101
ALBA,DOSTAT,https://comuna-dostat.ro/,primariadostat@yahoo.com,258764690
ALBA,FARAU,https://www.primariafarau.ro/,primariacomuneifarau@yahoo.com,258867101
ALBA,GALDA DE JOS,https://galda.ro/,clgalda@yahoo.com,258846032
ALBA,GARBOVA,https://primaria-garbova.ro/,office@primaria-garbova.ro,258748118
ALBA,GARDA DE SUS,https://comunagardadesus.ro/,gardadesus@ab.e-adm.ro,258778141
ALBA,HOPARTA,https://www.primariahopirta.ro/,primaria_hoparta@yahoo.com,258875770
ALBA,HOREA,http://primariahorea.ro/,secretariat_horea@ab.e-adm.com,258767334
ALBA,IGHIU,https://www.comunaighiu.ro/,primariaighiu@yahoo.com,258844103
ALBA,INTREGALDE,http://primariaintregalde.ro/,intregalde@ab.e-adm.ro,258855003
ALBA,JIDVEI,https://primariajidvei.ro/,contact@primariajidvei.ro,258881270
ALBA,LIVEZILE,http://primarialivezile.ro/,primaria@primarialivezile.ro,258868120
ALBA,LOPADEA NOUA,www.primarialopadeanoua.ro,primaria.lopadeanoua@yahoo.com,258875245
ALBA,LUNCA MURESULUI,https://www.lunca-muresului.ro/,primlunca@lunca-muresului.ro,258878121
ALBA,LUPSA,www.primarialupsa.ro,primaria_lupsa@yahoo.com,258897900
ALBA,METES,https://www.primariametes.ro/,contact@primariametes.ro,258849003
ALBA,MIHALT,www.primariamihalt.ro,primaria@primariamihalt.ro,258718101
ALBA,MIRASLAU,https://www.primariamiraslau.ro/,primaria.miraslau@yahoo.com,358405066
ALBA,MOGOS,https://comunamogos.ro/,primariamogos@yahoo.com,258700100
ALBA,NOSLAC,https://www.primarianoslac.ro/,contact@primarianoslac.ro,258889101
ALBA,OCOLIS,https://ocolis-ab.ro/,primariaocolis@yahoo.com,258700888
ALBA,OHABA,www.primariaohaba.ro,primariaohaba_ab@yahoo.com,258854511
ALBA,PIANU,www.primariapianu.ro,primariacomuneipianu@yahoo.com,258761111
ALBA,POIANA VADULUI,https://poianavadului.ro/,primaria@poianavadului.ro,258701856
ALBA,PONOR,https://www.comunaponor.ro/,primariaponor@yahoo.com,258867503
ALBA,POSAGA,https://comunaposaga.ro/,secretar@comunaposaga.ro,258776024
ALBA,RADESTI,http://www.primariaradesti.ro,primaria.radesti@yahoo.ro,258879491
ALBA,RAMET,https://www.comunarimet.ro/,primariaramet2008@yahoo.com,258880026
ALBA,RAMETEA,https://www.primariarimetea.ro/,primaria_rimetea@yahoo.com,258768001
ALBA,ROSIA DE SECAS,https://www.rosiadesecas.ro/,primariarosia@yahoo.com,258765705
ALBA,ROSIA MONTANA,https://primariarosiamontana.ro/,primaria@primariarosiamontana.ro,258783101
ALBA,SALCIUA,https://comunasalciua.ro/,primariasalciua@yahoo.com,258788740
ALBA,SALISTEA,https://comuna-salistea.ro/,primaria_salistea@yahoo.com,258762101
ALBA,SANCEL,https://www.primariasincel.ro/,primariasincel@yahoo.com,258885101
ALBA,SANTIMBRU,N/A,N/A,258842101
