judet,nume
ALBA,ABRUD
ALBA,ABRUD-SAT
ALBA,ACHIMETESTI
ALBA,ACMARIU
ALBA,AIUDUL DE SUS
ALBA,ALBA IULIA
ALBA,ALBAC
ALBA,ALECUS
ALBA,ALMASU DE MIJLOC
ALBA,ALMASU MARE
ALBA,AMPOITA
ALBA,ANGHELESTI
ALBA,ARIESENI
ALBA,ARONESTI
ALBA,ASINIP
ALBA,AVRAM IANCU
ALBA,AVRAMESTI
ALBA,BACAINTI
ALBA,BADAI
ALBA,BAGAU
ALBA,BAIA DE ARIES
ALBA,BALCACIU
ALBA,BALESTI
ALBA,BALESTI-CATUN
ALBA,BALMOSESTI
ALBA,BALOMIRU DE CIMP
ALBA,BARABANT
ALBA,BARASTI
ALBA,BARBESTI
ALBA,BAZESTI
ALBA,BELDIU
ALBA,BENIC
ALBA,BERGHIN
ALBA,BIDIGESTI
ALBA,BIHARIA
ALBA,BILANESTI
ALBA,BIRDESTI
ALBA,BIRLESTI
ALBA,BIRLESTI-CATUN
ALBA,BIRSANA
ALBA,BIRZAN
ALBA,BIRZOGANI
ALBA,BISTRA
ALBA,BLANDIANA
ALBA,BLIDESTI
ALBA,BOBARESTI
ALBA,BOCESTI
ALBA,BOCSITURA
ALBA,BODESTI
ALBA,BODRESTI
ALBA,BOGDANESTI
ALBA,BOGLESTI
ALBA,BOLDESTI
ALBA,BOLOVANESTI
ALBA,BONCESTI
ALBA,BORDESTII POIENI
ALBA,BORLESTI
ALBA,BOTANI
ALBA,BOTESTI
ALBA,BRADEANA
ALBA,BRADESTI
ALBA,BRAZESTI
ALBA,BUBESTI
ALBA,BUCERDEA GRANOASA
ALBA,BUCERDEA VINOASA
ALBA,BUCIUM
ALBA,BUCIUM-SAT
ALBA,BUCURU
ALBA,BUDAIESTI
ALBA,BUDENI
ALBA,BULBUC
ALBA,BUNINGINEA
ALBA,BUNTA
ALBA,BURZESTI
ALBA,BURZONESTI
ALBA,BUTESTI
ALBA,CALENE
ALBA,CALNIC
ALBA,CALUGARESTI
ALBA,CAPILNA
ALBA,CAPILNA DE JOS
ALBA,CAPTALAN
ALBA,CAPU DEALULUI
ALBA,CAPUD
ALBA,CARPEN
ALBA,CARPENII DE SUS
ALBA,CARPINIS
ALBA,CASA DE PIATRA
ALBA,CASOAIA
ALBA,CENADE
